Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18.0,Non-Travel,1124,Sales,1,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,1611,19305,1.0,Y,No,15,3,3,80,0.0,0.0,4.5,4,0.0,0.0,0.0,0.0
32.0,Travel_Rarely,371,Sales,19,3,Life Sciences,1,1739,4,Male,80,1,3,Sales Executive,3,Married,9610,3840,3.0,Y,No,13,3,3,80,1.0,10.0,2.0,1,4.0,3.0,0.0,2.0
48.0,Travel_Rarely,1224,Research & Development,10,3,Life Sciences,1,1867,4,Male,91,2,5,Research Director,2,Married,19665,13583,4.0,Y,No,12,3,4,80,0.0,28.5,3.0,3,20.5,10.0,7.5,9.0
28.0,Travel_Rarely,1144,Sales,10,1,Medical,1,1056,4,Male,74,3,1,Sales Representative,2,Married,1052,23384,1.0,Y,No,22,3,2,80,0.0,1.0,4.5,3,1.0,0.0,0.0,0.0
38.0,Travel_Frequently,240,Research & Development,2,4,Life Sciences,1,803,1,Female,75,4,2,Manufacturing Director,1,Single,5980,26085,6.0,Y,Yes,12,3,4,80,0.0,17.0,2.0,3,15.0,7.0,4.0,12.0
21.0,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1.0,Y,Yes,11,3,3,80,0.0,3.0,3.0,3,3.0,2.0,1.0,2.0
50.0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,644,1,Male,99,3,5,Manager,2,Married,"$18,200.00",7999,1.0,Y,No,11,3,3,80,1.0,28.5,2.0,3,20.5,5.0,7.5,7.0
30.0,Travel_Rarely,305,Research & Development,16,3,Life Sciences,1,1763,3,Male,58,4,2,Healthcare Representative,3,Married,"$5,294.00",9128,3.0,Y,No,16,3,3,80,1.0,10.0,3.0,3,7.0,0.0,1.0,7.0
35.0,Travel_Frequently,130,Research & Development,25,4,Life Sciences,1,881,4,Female,96,3,1,Research Scientist,2,Divorced,2022,16612,1.0,Y,Yes,19,3,1,80,1.0,10.0,3.0,2,10.0,2.0,7.0,8.0
31.0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3.0,Y,No,22,3,4,80,1.0,10.0,3.0,2,7.0,7.0,1.0,7.0
24.0,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,Married,"$2,033.00",7103,1.0,Y,No,13,3,3,80,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0
51.0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,296,2,Male,81,2,3,Research Director,2,Married,12490,15736,5.0,Y,No,16,3,4,80,2.0,16.0,4.5,1,10.0,9.0,4.0,7.0
38.0,Travel_Rarely,1321,Sales,1,4,Life Sciences,1,1995,4,Male,86,3,2,Sales Executive,2,Married,4440,7636,0.0,Y,No,15,3,1,80,2.0,16.0,3.0,3,15.0,13.0,5.0,8.0
33.0,Travel_Frequently,827,Research & Development,1,4,Other,1,998,3,Female,84,4,2,Healthcare Representative,2,Married,5488,20161,1.0,Y,Yes,13,3,1,80,1.0,6.0,2.0,3,6.0,5.0,1.0,2.0
41.0,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410,4,Male,88,3,4,Manager,2,Single,"$16,015.00",15896,1.0,Y,No,19,3,2,80,0.0,22.0,2.0,3,20.5,10.0,0.0,4.0
33.0,Travel_Rarely,922,Research & Development,1,5,Medical,1,612,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,4.0,Y,No,19,3,3,80,1.0,10.0,2.0,3,6.0,1.0,0.0,5.0
41.0,Travel_Rarely,314,Human Resources,1,3,Human Resources,1,734,4,Male,59,2,5,Manager,3,Married,19189,19562,1.0,Y,No,12,3,2,80,1.0,22.0,3.0,3,20.5,7.0,2.0,10.0
27.0,Travel_Rarely,1054,Research & Development,8,3,Medical,1,1751,3,Female,67,3,1,Research Scientist,4,Single,3445,6152,1.0,Y,No,11,3,3,80,0.0,6.0,4.5,2,6.0,2.0,1.0,4.0
40.0,Travel_Rarely,658,Sales,10,4,Marketing,1,954,1,Male,67,2,3,Sales Executive,2,Divorced,9705,20652,2.0,Y,No,12,3,2,80,1.0,11.0,2.0,2,1.0,0.0,0.0,0.0
31.0,Travel_Rarely,525,Sales,6,4,Medical,1,653,1,Male,66,4,2,Sales Executive,4,Divorced,5460,6219,4.0,Y,No,22,3,4,80,2.0,13.0,4.0,4,7.0,7.0,5.0,7.0
33.0,Travel_Frequently,430,Sales,7,3,Medical,1,1477,4,Male,54,3,2,Sales Executive,1,Married,"$4,373.00",17456,0.0,Y,No,14,3,1,80,2.0,5.0,2.0,3,4.0,3.0,0.0,3.0
26.0,Travel_Rarely,1449,Research & Development,16,4,Medical,1,394,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2.0,Y,Yes,13,3,4,80,1.0,5.0,2.0,3,3.0,2.0,0.0,2.0
37.0,Travel_Rarely,1225,Research & Development,10,2,Life Sciences,1,715,4,Male,80,4,1,Research Scientist,4,Single,4680,15232,3.0,Y,No,17,3,1,80,0.0,4.0,2.0,3,1.0,0.0,0.0,0.0
45.0,Travel_Rarely,1385,Research & Development,20,2,Medical,1,372,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0.0,Y,Yes,14,3,2,80,0.0,21.0,2.0,3,20.0,7.0,4.0,10.0
36.0,Travel_Rarely,928,Sales,1,2,Life Sciences,1,857,2,Male,56,3,2,Sales Executive,4,Married,6201,2823,1.0,Y,Yes,14,3,4,80,1.0,18.0,1.0,2,18.0,14.0,4.0,11.0
36.0,Non-Travel,509,Research & Development,2,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,6811,2112,2.0,Y,Yes,17,3,1,80,0.0,10.0,3.0,3,8.0,7.0,0.0,7.0
28.0,Travel_Rarely,1181,Research & Development,1,3,Life Sciences,1,1799,3,Male,82,3,1,Research Scientist,4,Married,2044,5531,1.0,Y,No,11,3,3,80,1.0,5.0,4.5,4,5.0,3.0,0.0,3.0
50.0,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,1030,1,Male,64,3,1,Laboratory Technician,4,Married,2380,20165,4.0,Y,No,18,3,2,80,0.0,8.0,4.5,3,1.0,0.0,0.0,0.0
55.0,Travel_Rarely,685,Sales,26,5,Marketing,1,1578,3,Male,60,2,5,Manager,4,Married,19586,23037,1.0,Y,No,21,3,3,80,1.0,28.5,3.0,3,20.5,6.0,2.0,13.0
26.0,Travel_Rarely,474,Research & Development,3,3,Life Sciences,1,1581,1,Female,89,3,1,Research Scientist,4,Married,2061,11133,1.0,Y,No,21,3,1,80,0.0,1.0,4.5,3,1.0,0.0,0.0,0.0
35.0,Non-Travel,1225,Research & Development,2,4,Life Sciences,1,771,4,Female,61,3,2,Healthcare Representative,1,Divorced,5093,4761,2.0,Y,No,11,3,1,80,1.0,16.0,2.0,4,1.0,0.0,0.0,0.0
31.0,Travel_Frequently,163,Research & Development,24,1,Technical Degree,1,1736,4,Female,30,3,2,Manufacturing Director,4,Single,5238,6670,2.0,Y,No,20,3,4,80,0.0,9.0,3.0,2,5.0,4.0,1.0,4.0
36.0,Travel_Rarely,188,Research & Development,7,4,Other,1,949,2,Male,65,3,1,Research Scientist,4,Single,4678,23293,2.0,Y,No,18,3,3,80,0.0,8.0,4.5,3,6.0,2.0,0.0,1.0
31.0,Travel_Rarely,154,Sales,7,4,Life Sciences,1,941,2,Male,41,2,1,Sales Representative,3,Married,2329,11737,3.0,Y,No,15,3,2,80,0.0,10.0,2.0,4,7.0,7.0,5.0,2.0
32.0,Non-Travel,976,Sales,26,4,Marketing,1,333,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0.0,Y,No,18,3,1,80,0.0,10.0,2.0,3,3.0,2.0,2.0,2.0
38.0,Travel_Rarely,268,Research & Development,2,5,Medical,1,773,4,Male,92,3,1,Research Scientist,3,Married,3057,20471,6.0,Y,Yes,13,3,2,80,1.0,6.0,0.5,1,1.0,0.0,0.0,1.0
36.0,Travel_Rarely,559,Research & Development,12,4,Life Sciences,1,1614,3,Female,76,3,2,Manufacturing Director,3,Married,4663,12421,8.5,Y,Yes,12,3,2,80,2.0,7.0,2.0,3,3.0,2.0,1.0,1.0
29.0,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,1,824,3,Male,81,4,1,Research Scientist,3,Married,2700,23779,1.0,Y,No,24,3,3,80,1.0,10.0,3.0,3,10.0,7.0,0.0,7.0
52.0,Travel_Frequently,322,Research & Development,28,2,Medical,1,1401,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2.0,Y,Yes,11,3,2,80,1.0,24.0,3.0,2,5.0,3.0,0.0,2.0
28.0,Travel_Rarely,995,Research & Development,9,3,Medical,1,930,3,Female,77,3,1,Research Scientist,3,Divorced,2377,9834,5.0,Y,No,18,3,2,80,1.0,6.0,2.0,3,2.0,2.0,2.0,2.0
21.0,Travel_Rarely,1427,Sales,18,1,Other,1,923,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1.0,Y,No,19,3,1,80,0.0,1.0,3.0,2,1.0,0.0,0.0,0.0
33.0,Travel_Rarely,211,Sales,16,3,Life Sciences,1,1758,1,Female,74,3,3,Sales Executive,1,Single,8564,10092,2.0,Y,Yes,20,3,3,80,0.0,11.0,2.0,2,0.0,0.0,0.0,0.0
36.0,Travel_Frequently,1395,Research & Development,26,3,Medical,1,202,2,Female,54,3,2,Research Scientist,2,Divorced,5605,8504,1.0,Y,No,11,3,1,80,1.0,20.0,2.0,3,20.0,7.0,2.0,13.0
33.0,Travel_Rarely,536,Sales,10,5,Marketing,1,1268,4,Male,82,4,3,Sales Executive,3,Divorced,8380,21708,0.0,Y,Yes,14,3,4,80,2.0,10.0,3.0,3,9.0,8.0,0.0,8.0
38.0,Travel_Rarely,243,Sales,7,4,Marketing,1,709,4,Female,46,2,2,Sales Executive,4,Single,"$4,028.00",7791,0.0,Y,No,20,3,1,80,0.0,8.0,2.0,3,7.0,7.0,0.0,5.0
21.0,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,2679,4567,1.0,Y,No,13,3,2,80,0.0,1.0,3.0,3,1.0,0.0,1.0,0.0
43.0,Travel_Rarely,1372,Sales,-16,3,Marketing,1,1188,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8.0,Y,No,13,3,2,80,0.0,7.0,2.0,2,4.0,3.0,1.0,3.0
27.0,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1.0,Y,No,18,3,1,80,1.0,8.0,3.0,3,8.0,7.0,0.0,7.0
34.0,Travel_Rarely,1333,Sales,10,4,Life Sciences,1,1055,3,Female,87,3,1,Sales Representative,3,Married,2220,18410,1.0,Y,Yes,19,3,4,80,1.0,1.0,2.0,3,1.0,1.0,0.0,0.0
47.0,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3.0,Y,No,19,3,1,80,0.0,5.0,3.0,3,0.0,0.0,0.0,0.0
46.0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,17861,2288,6.0,Y,No,13,3,3,80,0.0,26.0,2.0,1,3.0,2.0,0.0,1.0
36.0,Travel_Rarely,920,Human Resources,20,2,Medical,1,1818,4,Female,69,3,1,Human Resources,2,Married,2148,6889,0.0,Y,Yes,11,3,3,80,0.0,6.0,3.0,3,5.0,1.0,1.0,4.0
31.0,Non-Travel,335,Sales,9,2,Medical,1,991,3,Male,46,2,1,Research Scientist,1,Single,2321,10322,0.0,Y,Yes,22,3,1,80,0.0,4.0,0.5,3,3.0,2.0,1.0,2.0
36.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,286,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1.0,Y,No,13,3,1,80,0.0,8.0,2.0,3,8.0,1.0,1.0,7.0
34.0,Travel_Rarely,735,Sales,3,1,Medical,1,1915,4,Female,75,2,2,Sales Executive,4,Married,8103,16495,3.0,Y,Yes,12,3,3,80,0.0,9.0,3.0,2,4.0,2.0,0.0,1.0
35.0,Travel_Rarely,682,Sales,18,4,Medical,1,1945,2,Male,71,3,2,Sales Executive,1,Married,"$5,561.00",15975,0.0,Y,No,16,3,4,80,1.0,6.0,2.0,1,5.0,3.0,0.0,4.0
45.0,Travel_Rarely,556,Research & Development,25,2,Life Sciences,1,1888,2,Female,93,2,2,Manufacturing Director,4,Married,5906,23888,0.0,Y,No,13,3,4,80,2.0,10.0,2.0,2,9.0,8.0,3.0,8.0
31.0,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3.0,Y,Yes,11,3,3,80,1.0,4.0,2.0,3,2.0,2.0,2.0,2.0
30.0,Travel_Rarely,945,Sales,9,3,Medical,1,1876,2,Male,89,3,1,Sales Representative,4,Single,1081,16019,1.0,Y,No,13,3,3,80,0.0,1.0,3.0,2,1.0,0.0,0.0,0.0
30.0,Travel_Rarely,946,Research & Development,2,3,Medical,1,833,3,Female,52,2,2,Manufacturing Director,4,Single,6877,20234,5.0,Y,Yes,24,3,2,80,0.0,12.0,4.0,2,0.0,0.0,0.0,0.0
30.0,Travel_Rarely,330,Human Resources,1,3,Life Sciences,1,1499,3,Male,46,3,1,Human Resources,3,Divorced,2064,15428,0.0,Y,No,21,3,1,80,1.0,6.0,3.0,4,5.0,3.0,1.0,3.0
49.0,Travel_Rarely,174,Sales,8,4,Technical Degree,1,1138,4,Male,56,2,4,Sales Executive,2,Married,13120,11879,6.0,Y,No,17,3,2,80,1.0,22.0,3.0,3,9.0,8.0,2.0,3.0
36.0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,397,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4.0,Y,No,12,3,4,80,0.0,10.0,2.0,3,8.0,0.0,7.0,7.0
37.0,Travel_Rarely,228,Sales,6,4,Medical,1,378,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4.0,Y,No,14,3,2,80,1.0,7.0,4.5,4,5.0,4.0,0.0,1.0
50.0,Travel_Frequently,1421,Research & Development,2,3,Medical,1,1215,4,Female,30,3,4,Manager,1,Married,"$17,856.00",9490,2.0,Y,No,22,3,3,80,1.0,28.5,3.0,3,2.0,2.0,2.0,2.0
31.0,Non-Travel,325,Research & Development,5,3,Medical,1,2057,2,Male,74,3,2,Manufacturing Director,1,Single,"$9,936.00",3787,0.0,Y,No,19,3,2,80,0.0,10.0,2.0,3,9.0,4.0,1.0,7.0
37.0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1.0,Y,No,12,3,2,80,0.0,17.0,3.0,3,17.0,12.0,5.0,7.0
25.0,Travel_Rarely,383,Sales,9,2,Life Sciences,1,1439,1,Male,68,2,1,Sales Representative,1,Married,4400,15182,3.0,Y,No,12,3,1,80,0.0,6.0,2.0,3,3.0,2.0,2.0,2.0
33.0,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,242,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0.0,Y,No,14,3,1,80,0.0,4.0,2.0,4,3.0,1.0,0.0,2.0
24.0,Travel_Frequently,567,R&D,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760,17218,1.0,Y,Yes,13,3,3,80,0.0,6.0,2.0,3,6.0,3.0,1.0,3.0
29.0,Travel_Rarely,1370,Research & Development,3,1,Medical,1,1586,2,Male,87,3,1,Laboratory Technician,1,Single,4723,16213,1.0,Y,Yes,18,3,4,80,0.0,10.0,3.0,3,10.0,9.0,1.0,5.0
39.0,Travel_Rarely,1431,Research & Development,1,4,Medical,1,332,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7.0,Y,No,14,3,3,80,2.5,7.0,1.0,3,3.0,2.0,1.0,2.0
28.0,Travel_Rarely,857,Research & Development,10,3,Other,1,1097,3,Female,59,3,2,Research Scientist,3,Single,3660,7909,3.0,Y,No,13,3,4,80,0.0,10.0,4.0,4,8.0,7.0,1.0,7.0
40.0,Non-Travel,1142,Research & Development,8,2,Life Sciences,1,1552,4,Male,72,3,2,Healthcare Representative,4,Divorced,4069,8841,3.0,Y,Yes,18,3,3,80,0.0,8.0,2.0,3,2.0,2.0,2.0,2.0
32.0,Travel_Rarely,374,Research & Development,25,4,Life Sciences,1,911,1,Male,87,3,1,Laboratory Technician,4,Single,2795,18016,1.0,Y,Yes,24,3,3,80,0.0,1.0,2.0,1,1.0,0.0,0.0,1.0
44.0,Non-Travel,381,Research & Development,24,3,Medical,1,744,1,Male,49,1,1,Laboratory Technician,3,Single,3708,2104,2.0,Y,No,14,3,3,80,0.0,9.0,4.5,3,5.0,2.0,1.0,4.0
30.0,Travel_Rarely,921,R&D,1,3,Life Sciences,1,806,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3.0,Y,No,21,3,3,80,2.0,7.0,2.0,3,2.0,2.0,0.0,2.0
44.0,Travel_Rarely,1467,Sales,20,3,Life Sciences,1,1475,4,Male,49,3,1,Research Scientist,2,Single,3420,21158,1.0,Y,No,13,3,3,80,0.0,6.0,3.0,2,5.0,2.0,1.0,3.0
38.0,Travel_Rarely,1180,Research & Development,29,1,Medical,1,282,2,Male,70,3,2,Healthcare Representative,1,Married,"$6,673.00",11354,7.0,Y,Yes,19,3,2,80,0.0,17.0,2.0,3,1.0,0.0,0.0,0.0
44.0,Travel_Rarely,170,Sales,1,4,Life Sciences,1,1903,2,Male,78,4,2,Healthcare Representative,1,Married,"$5,033.00",9364,2.0,Y,No,15,3,4,80,1.0,10.0,4.5,3,2.0,0.0,2.0,2.0
35.0,Travel_Rarely,219,Research & Development,16,2,Other,1,1886,4,Female,44,2,2,Manufacturing Director,2,Married,4788,25388,0.0,Y,Yes,11,3,4,80,0.0,4.0,2.0,3,3.0,2.0,0.0,2.0
55.0,Travel_Rarely,282,Research & Development,2,2,Medical,1,1336,4,Female,58,1,5,Manager,3,Married,19187,6992,4.0,Y,No,14,3,4,80,1.0,23.0,4.5,3,19.0,9.0,7.5,11.0
24.0,Travel_Frequently,1287,Sales,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1.0,Y,Yes,16,3,4,80,1.0,6.0,4.0,3,6.0,3.0,1.0,2.0
44.0,Travel_Frequently,602,Sales,1,5,Human Resources,1,1642,1,Male,37,3,2,Human Resources,4,Married,5743,10503,4.0,Y,Yes,11,3,3,80,0.0,14.0,3.0,3,10.0,7.0,0.0,2.0
35.0,Travel_Rarely,583,Research & Development,25,4,Medical,1,1014,3,Female,57,3,3,Healthcare Representative,3,Divorced,"$10,388.00",6975,1.0,Y,Yes,11,3,3,80,1.0,16.0,3.0,2,16.0,10.0,7.5,1.0
34.0,Travel_Rarely,546,Research & Development,10,3,Life Sciences,1,934,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1.0,Y,No,14,3,2,80,2.0,1.0,3.0,3,1.0,0.0,1.0,0.0
49.0,Non-Travel,1002,Research & Development,18,4,Life Sciences,1,275,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,23793,1.0,Y,Yes,15,3,1,80,2.0,7.0,0.5,3,7.0,7.0,1.0,7.0
36.0,Travel_Rarely,1041,Human Resources,13,3,Human Resources,1,829,3,Male,36,3,1,Human Resources,2,Married,2143,25527,4.0,Y,No,13,3,2,80,1.0,8.0,2.0,3,5.0,2.0,0.0,4.0
38.0,Travel_Rarely,1035,Sales,3,4,Life Sciences,1,1036,2,Male,42,3,2,Sales Executive,4,Single,6861,4981,8.0,Y,Yes,12,3,3,80,0.0,19.0,1.0,3,1.0,0.0,0.0,0.0
43.0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8.0,Y,No,16,3,1,80,1.0,10.0,1.0,2,1.0,0.0,0.0,0.0
36.0,Travel_Frequently,1413,Sales,1,1,Medical,1,312,2,Female,42,3,3,Sales Executive,4,Married,7918,6599,1.0,Y,No,14,3,4,80,1.0,11.0,4.5,3,11.0,10.0,4.0,1.0
52.0,Travel_Rarely,994,Research & Development,7,4,Life Sciences,1,1118,2,Male,87,3,3,Healthcare Representative,2,Single,10445,15322,7.0,Y,No,19,3,4,80,0.0,18.0,4.0,3,8.0,6.0,4.0,0.0
39.0,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,1127,1,Male,84,3,4,Healthcare Representative,4,Divorced,"$12,169.00",13547,7.0,Y,No,11,3,4,80,2.5,21.0,4.0,3,18.0,7.0,7.5,5.0
36.0,Travel_Rarely,530,Sales,2,4,Life Sciences,1,1710,3,Female,51,3,2,Sales Representative,4,Single,4502,7439,3.0,Y,No,15,3,3,80,0.0,17.0,2.0,2,13.0,7.0,6.0,7.0
35.0,Travel_Rarely,882,Sales,3,4,Life Sciences,1,984,4,Male,92,3,3,Sales Executive,4,Divorced,7823,6812,6.0,Y,No,13,3,2,80,1.0,12.0,2.0,3,10.0,9.0,0.0,8.0
48.0,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2.0,Y,No,14,3,1,80,1.0,14.0,2.0,3,9.0,7.0,6.0,7.0
30.0,Travel_Frequently,448,Sales,12,4,Life Sciences,1,648,2,Male,74,2,1,Sales Representative,1,Married,2033,14470,1.0,Y,No,18,3,3,80,1.0,1.0,2.0,4,1.0,0.0,0.0,0.0
29.0,Travel_Frequently,746,Sales,24,3,Technical Degree,1,1928,3,Male,45,4,1,Sales Representative,1,Single,"$1,091.00",10642,1.0,Y,No,17,3,4,80,0.0,1.0,3.0,3,1.0,0.0,0.0,0.0
42.0,Non-Travel,335,Research & Development,23,2,Life Sciences,1,1976,4,Male,37,2,2,Research Scientist,3,Single,4332,14811,1.0,Y,No,12,3,4,80,0.0,20.0,2.0,3,20.0,9.0,3.0,7.0
22.0,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,2472,26092,1.0,Y,Yes,23,3,1,80,0.0,1.0,2.0,3,1.0,0.0,0.0,0.0
39.0,Travel_Rarely,1122,Research & Development,6,3,Medical,1,932,4,Male,70,3,1,Laboratory Technician,1,Married,2404,4303,7.0,Y,Yes,21,3,4,80,0.0,8.0,2.0,1,2.0,2.0,2.0,2.0
41.0,Travel_Frequently,1018,Sales,1,3,Marketing,1,1349,3,Female,66,3,2,Sales Executive,1,Divorced,"$4,103.00",4297,0.0,Y,No,17,3,4,80,1.0,10.0,2.0,3,9.0,3.0,1.0,7.0
22.0,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398,15999,1.0,Y,Yes,17,3,3,80,0.0,1.0,4.5,3,1.0,0.0,0.0,0.0
41.0,Travel_Rarely,263,Research & Development,6,3,Medical,1,957,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2.0,Y,Yes,13,3,3,80,0.0,20.0,3.0,3,18.0,13.0,2.0,14.5
